time,par
2015-08-03 06:57:35,-0.189
2015-08-03 07:00:36,-0.189
2015-08-03 07:03:36,-0.189
2015-08-03 07:06:36,-0.189
2015-08-03 07:09:36,-0.189
2015-08-03 07:12:36,-0.189
2015-08-03 07:15:37,-0.189
2015-08-03 07:18:37,-0.189
2015-08-03 07:21:37,-0.189
2015-08-03 07:24:37,-0.189
2015-08-03 07:27:38,-0.163
2015-08-03 07:30:38,-0.163
2015-08-03 07:33:38,-0.189
2015-08-03 07:36:38,-0.189
2015-08-03 07:39:39,-0.189
2015-08-03 07:42:39,-0.189
2015-08-03 07:45:39,-0.189
2015-08-03 07:48:39,-0.189
2015-08-03 07:51:40,-0.163
2015-08-03 07:54:40,-0.189
2015-08-03 07:57:40,-0.189
2015-08-03 08:00:40,-0.189
2015-08-03 08:03:41,-0.189
2015-08-03 08:06:41,-0.189
2015-08-03 08:09:41,-0.189
2015-08-03 08:12:41,-0.163
2015-08-03 08:15:42,-0.189
2015-08-03 08:18:42,-0.163
2015-08-03 08:21:42,-0.189
2015-08-03 08:24:42,-0.163
2015-08-03 08:27:43,-0.189
2015-08-03 08:30:43,-0.189
2015-08-03 08:33:43,-0.189
2015-08-03 08:36:43,-0.189
2015-08-03 08:39:44,-0.189
2015-08-03 08:42:44,-0.163
2015-08-03 08:45:44,-0.163
2015-08-03 08:48:45,-0.189
2015-08-03 08:51:45,-0.189
2015-08-03 08:54:45,-0.189
2015-08-03 08:57:45,-0.189
2015-08-03 09:00:45,-0.189
2015-08-03 09:03:46,-0.189
2015-08-03 09:06:46,-0.189
2015-08-03 09:09:46,-0.189
2015-08-03 09:12:46,-0.189
2015-08-03 09:15:47,-0.163
2015-08-03 09:18:47,-0.163
2015-08-03 09:21:47,-0.163
2015-08-03 09:24:47,-0.189
2015-08-03 09:27:48,-0.189
2015-08-03 09:30:48,-0.189
2015-08-03 09:33:48,-0.189
2015-08-03 09:36:48,-0.189
2015-08-03 09:39:49,-0.189
2015-08-03 09:42:49,-0.189
2015-08-03 09:45:49,-0.189
2015-08-03 09:48:49,-0.189
2015-08-03 09:51:50,-0.163
2015-08-03 09:54:50,-0.189
2015-08-03 09:57:50,-0.189
2015-08-03 10:00:50,-0.189
2015-08-03 10:03:51,-0.189
2015-08-03 10:06:51,-0.189
2015-08-03 10:09:51,-0.189
2015-08-03 10:12:51,-0.189
2015-08-03 10:15:52,-0.189
2015-08-03 10:18:52,-0.189
2015-08-03 10:21:52,-0.189
2015-08-03 10:24:52,-0.189
2015-08-03 10:27:53,-0.189
2015-08-03 10:30:53,-0.189
2015-08-03 10:33:53,-0.189
2015-08-03 10:36:53,-0.189
2015-08-03 10:39:54,-0.163
2015-08-03 10:42:54,-0.189
2015-08-03 10:45:54,-0.189
2015-08-03 10:48:54,-0.265
2015-08-03 10:51:54,-0.189
2015-08-03 10:54:55,-0.189
2015-08-03 10:57:55,-0.189
2015-08-03 11:00:55,-0.189
2015-08-03 11:03:55,-0.189
2015-08-03 11:06:56,-0.189
2015-08-03 11:09:56,-0.189
2015-08-03 11:12:56,-0.189
2015-08-03 11:15:56,-0.189
2015-08-03 11:18:57,-0.189
2015-08-03 11:21:57,-0.189
